6183
47868	一业	3
68012	一个愿打	1
68011	一个愿挨	1
31201	一个男孩	4
12006	一书	1
35315	一争	4
5874	一事	97
5918	一人	2
16027	一代人	14
59641	一代新人	1
50191	一众	2
15899	一体	37
66132	一俟	1
65615	一关	1
65509	一军	1
29487	一分耕耘	2
8162	一分钱	10
64662	一刹	1
29245	一剂	2
67946	一剪梅	1
69050	一加仑	1
33631	一劳永逸	5
61284	一区	1
51976	一卡通	1
29220	一厘	2
51977	一司	1
34377	一哥	1
69867	一售	1
43911	一圈圈	1
41939	一场场	3
32141	一场空	1
22111	一块钱	4
58201	一域	2
21246	一堂课	1
9454	一夫	3
5204	一定量	7
800	一审	107
11449	一审判决	41
31927	一家亲	4
25158	一家人	11
20940	一家子	1
6212	一带	27
39928	一帮人	2
29548	一幕幕	2
28662	一座座	8
49979	一庭	1
63408	一张白纸	1
13400	一念	2
47722	一手交货	2
66323	一手交钱	1
24545	一挥	1
58783	一掌	1
49495	一搏	1
19897	一斑	6
18654	一族	3
51447	一景	3
57536	一朵花	1
49381	一机部	1
52122	一束花	1
44990	一条街	3
69592	一梭	1
17147	一楼	18
46455	一次能源	2
28944	一段距离	2
44393	一毛钱	1
64648	一气	1
28057	一氧化氮	1
28069	一氧化碳	13
16884	一池	1
43076	一汽大众	2
43079	一汽集团	1
9505	一波	2
15003	一流	34
40997	一炮	1
65604	一环	1
27194	一班人马	1
38170	一番话	1
46283	一盏灯	1
65751	一监	1
61041	一盘散沙	1
55124	一盘棋	1
65738	一瞥	1
26107	一石	3
18709	一码事	1
43916	一程	2
33977	一等奖	4
22406	一策	6
13221	一箩筐	1
25986	一线品牌	1
17669	一线希望	5
33146	一翼	1
27360	一胎化	8
17995	一致性	14
68875	一舶	1
63403	一艘船	1
66566	一节课	1
12992	一览	26
69964	一览表	1
19684	一贯主张	3
48310	一贯性	1
11482	一辆车	6
19063	一连串	16
62087	一遇	1
62332	一金	1
22303	一针	2
55516	一锅	1
12852	一锅端	3
43413	一锤定音	2
21832	一键	1
44028	一长串	2
22399	一险	1
20690	一隅	1
40755	一面镜子	2
59942	一项项	2
51593	一颗颗	1
70094	一题	1
506	丁	19
56898	丁一平	1
57914	丁东	1
40440	丁书苗	13
54443	丁二醇	2
13118	丁仲礼	2
29878	丁关根	1
26561	丁冬	1
20856	丁力	2
51236	丁功扬	1
56015	丁善娥	1
13992	丁学富	1
60694	丁学良	1
45273	丁宁	1
35782	丁家塘	1
22474	丁小浩	1
61914	丁山	1
69523	丁建臣	1
17857	丁怡婷	7
24214	丁文杰	4
46148	丁文韬	1
44735	丁方	1
67950	丁日昌	1
64429	丁景涛	1
41572	丁月生	2
16467	丁来	1
16460	丁来杭	1
47506	丁璐艳	1
5584	丁磊	3
39041	丁祖昱	1
56877	丁秋生	1
59548	丁税	2
63647	丁绍祥	1
16414	丁继业	5
40457	丁羽	4
51135	丁肇中	1
61607	丁薛祥	1
37734	丁辰灵	1
35413	丁运洲	1
44857	丁远怀	1
2121	丁锋	64
44297	七中全会	3
42060	七侠五义	1
68843	七台河	1
38080	七国	1
14991	七国集团	15
55658	七婆	1
987	七宝	2
52260	七层楼	1
9416	七庙	1
69274	七彩	1
45933	七律	1
54620	七星	1
59482	七月份	2
44890	七楼	5
42579	七湖	2
56794	七省	1
59738	七论	1
41887	七里河区	1
26441	七院	1
12845	万丈光芒	2
58207	万世	1
55224	万东	1
33598	万丰	2
8666	万事	1
28977	万事兴	1
64227	万事利	1
62563	万事达卡	1
44378	万人迷	1
33728	万众	2
54733	万全	2
